codigo;nombre;marca;modelo;categoria;unidad;precio_x_menor;precio_x_mayor;alerta_cantidad
10000737;A01 CORE SAMSUNG;;;23;UNIDAD;1;1;5
10000738;A01 SAMSUNG;;;23;UNIDAD;1;1;5
10000739;A02 SAMSUNG;;;23;UNIDAD;1;1;5
10000740;A025 SAMSUNG;;;23;UNIDAD;1;1;5
10000741;A03 CORE;;;23;UNIDAD;1;1;5
10000742;A03 S SAMSUNG;;;23;UNIDAD;1;1;5
10000743;A03 SAMSUNG;;;23;UNIDAD;1;1;5
10000744;A04 SAMSUNG;;;23;UNIDAD;1;1;5
10000745;A10 SAMSUNG;;;23;UNIDAD;1;1;5
10000746;A10S SAMSUNG;;;23;UNIDAD;1;1;5
10000747;A11 SAMSUNG;;;23;UNIDAD;1;1;5
10000748;A12 SAMSUNG;;;23;UNIDAD;1;1;5
10000749;A13 MARCO SAMSUNG;;;23;UNIDAD;1;1;5
10000750;A13 SAMSUNG;;;23;UNIDAD;1;1;5
10000751;A20 MARCO SAMSUNG;;;23;UNIDAD;1;1;5
10000752;A20S SAMSUNG;;;23;UNIDAD;1;1;5
10000754;A21 SAMSUNG;;;23;UNIDAD;1;1;5
10000755;A22 5G SAMSUNG;;;23;UNIDAD;1;1;5
10000756;A22 CON MARCO SAMSUNG;;;23;UNIDAD;1;1;5
10000757;A22 SIN MARCO SAMSUNG;;;23;UNIDAD;1;1;5
10000758;A23 SAMSUNG;;;23;UNIDAD;1;1;5
10000759;A30 CON MARCO SAMSUNG;;;23;UNIDAD;1;1;5
10000760;A30 SAMSUNG;;;23;UNIDAD;1;1;5
10000761;A30 SIN MARCO SAMSUNG;;;23;UNIDAD;1;1;5
10000763;A32 5G SAMSUNG;;;23;UNIDAD;1;1;5
10000764;A33 SAMSUNG;;;23;UNIDAD;1;1;5
10000765;A40 SAMSUNG;;;23;UNIDAD;1;1;5
10000766;A50 SAMSUNG;;;23;UNIDAD;1;1;5
10000767;A51 SAMSUNG;;;23;UNIDAD;1;1;5
10000768;A52 SAMSUNG;;;23;UNIDAD;1;1;5
10000770;A53 SAMSUNG;;;23;UNIDAD;1;1;5
10000771;A6 PLUS SAMSUNG;;;23;UNIDAD;1;1;5
10000772;A7 SAMSUNG;;;23;UNIDAD;1;1;5
10000773;A70 SAMSUNG;;;23;UNIDAD;1;1;5
10000774;A71 SAMSUNG;;;23;UNIDAD;1;1;5
10000775;A72 SAMSUNG;;;23;UNIDAD;1;1;5
10000776;A73 SAMSUNG;;;23;UNIDAD;1;1;5
10000777;A8 2018 SAMSUNG;;;23;UNIDAD;1;1;5
10000778;A80 SAMSUNG;;;23;UNIDAD;1;1;5
10000779;A9 SAMSUNG;;;23;UNIDAD;1;1;5
10000780;E7 SAMSUNG;;;23;UNIDAD;1;1;5
10000781;HONOR 50 HC;;;23;UNIDAD;1;1;5
10000782;HONOR 70;;;23;UNIDAD;1;1;5
10000783;HONOR 8;;;23;UNIDAD;1;1;5
10000784;HONOR X7;;;23;UNIDAD;1;1;5
10000785;HUAWEI MATE 10;;;23;UNIDAD;1;1;5
10000786;HUAWEI MATE 20;;;23;UNIDAD;1;1;5
10000787;HUAWEI MATE 20 LITE;;;23;UNIDAD;1;1;5
10000788;HUAWEI P10 PLUS;;;23;UNIDAD;1;1;5
10000789;HUAWEI P20;;;23;UNIDAD;1;1;5
10000790;HUAWEI P20 PRO;;;23;UNIDAD;1;1;5
10000791;HUAWEI P30 LITE;;;23;UNIDAD;1;1;5
10000792;HUAWEI P30 MARCO;;;23;UNIDAD;1;1;5
10000793;HUAWEI P30 SIN MARCO;;;23;UNIDAD;1;1;5
10000794;HUAWEI P40LITE;;;23;UNIDAD;1;1;5
10000795;HUAWEI P8;;;23;UNIDAD;1;1;5
10000796;HUAWEI PSMART 2019 MARCO;;;23;UNIDAD;1;1;5
10000797;HUAWEI PSMART 2019 SIN MARCO;;;23;UNIDAD;1;1;5
10000800;HUAWEI Y7 2019;;;23;UNIDAD;1;1;5
10000801;HUAWEI Y7 P;;;23;UNIDAD;1;1;5
10000802;HUAWEI Y7A;;;23;UNIDAD;1;1;5
10000803;HUAWEI Y8P;;;23;UNIDAD;1;1;5
10000805;HUAWEI Y9 A;;;23;UNIDAD;1;1;5
10000806;IPHONE 11 1P;;;23;UNIDAD;1;1;5
10000807;IPHONE 11 ORIGINAL;;;23;UNIDAD;1;1;5
10000808;IPHONE 11 PRO;;;23;UNIDAD;1;1;5
10000809;IPHONE 11 PRO;;;23;UNIDAD;1;1;5
10000810;IPHONE 11 PRO GX;;;23;UNIDAD;1;1;5
10000811;IPHONE 11 PRO MAX;;;23;UNIDAD;1;1;5
10000812;IPHONE 11 PRO MAX;;;23;UNIDAD;1;1;5
10000813;IPHONE 11 PRO MAX GX;;;23;UNIDAD;1;1;5
10000814;IPHONE 12 Amoled;;;23;UNIDAD;1;1;5
10000815;IPHONE 12 MINI;;;23;UNIDAD;1;1;5
10000816;IPHONE 12 MINI GX;;;23;UNIDAD;1;1;5
10000817;IPHONE 12 PRO GX;;;23;UNIDAD;1;1;5
10000818;IPHONE 12 PRO MAX;;;23;UNIDAD;1;1;5
10000819;IPHONE 12 PRO MAX GX;;;23;UNIDAD;1;1;5
10000820;IPHONE 13;;;23;UNIDAD;1;1;5
10000824;IPHONE 6 NEGRO;;;23;UNIDAD;1;1;5
10000999;IPHONE 6 BLANCO;;;23;UNIDAD;1;1;5
10000826;IPHONE 6 PLUS NEGRO;;;23;UNIDAD;1;1;5
10000827;IPHONE 6G BLANCO;;;23;UNIDAD;1;1;5
10000828;IPHONE 6G NEGRO;;;23;UNIDAD;1;1;5
10000829;IPHONE 6S BLANCO;;;23;UNIDAD;1;1;5
10000831;IPHONE 6S PLUS BLANCO;;;23;UNIDAD;1;1;5
10000832;IPHONE 6S PLUS NEGRO;;;23;UNIDAD;1;1;5
10000833;IPHONE 7 BLANCO;;;23;UNIDAD;1;1;5
10000835;IPHONE 7 PLUS BLANCO;;;23;UNIDAD;1;1;5
10000836;IPHONE 7 PLUS NEGRO;;;23;UNIDAD;1;1;5
10000837;IPHONE 8 BLANCO;;;23;UNIDAD;1;1;5
10000839;IPHONE 8 PLUS BLANCO;;;23;UNIDAD;1;1;5
10000841;IPHONE X;;;23;UNIDAD;1;1;5
10000842;IPHONE XR;;;23;UNIDAD;1;1;5
10000843;IPHONE XR ORIGINAL;;;23;UNIDAD;1;1;5
10000844;IPHONE XS;;;23;UNIDAD;1;1;5
10000845;IPHONE XS GX;;;23;UNIDAD;1;1;5
10000846;IPHONE XS MAX;;;23;UNIDAD;1;1;5
10000847;IPHONE XS MAX GX;;;23;UNIDAD;1;1;5
10000848;J1 2016 SAMSUNG;;;23;UNIDAD;1;1;5
10000849;J1 ACE SAMSUNG;;;23;UNIDAD;1;1;5
10000850;J2 PRO SAMSUNG;;;23;UNIDAD;1;1;5
10000852;J4 SAMSUNG;;;23;UNIDAD;1;1;5
10000853;J5 SAMSUNG;;;23;UNIDAD;1;1;5
10000854;J7 2016 SAMSUNG;;;23;UNIDAD;1;1;5
10000855;J7 N60 SAMSUNG;;;23;UNIDAD;1;1;5
10000856;J7 PRIME SAMSUNG;;;23;UNIDAD;1;1;5
10000857;J7 PRO SAMSUNG;;;23;UNIDAD;1;1;5
10000858;J7 SAMSUNG;;;23;UNIDAD;1;1;5
10000859;J8 SAMSUNG;;;23;UNIDAD;1;1;5
10000860;LG G5;;;23;UNIDAD;1;1;5
10000861;LG G6;;;23;UNIDAD;1;1;5
10000862;LG K10;;;23;UNIDAD;1;1;5
10000863;LG K10 2017;;;23;UNIDAD;1;1;5
10000864;LG K22;;;23;UNIDAD;1;1;5
10000865;LG K4 2017;;;23;UNIDAD;1;1;5
10000866;LG K40;;;23;UNIDAD;1;1;5
10000867;LG K40S;;;23;UNIDAD;1;1;5
10000868;LG K41 S;;;23;UNIDAD;1;1;5
10000869;LG K50 Q60;;;23;UNIDAD;1;1;5
10000870;LG K61;;;23;UNIDAD;1;1;5
10000871;LG K8;;;23;UNIDAD;1;1;5
10000872;LG K8 2017;;;23;UNIDAD;1;1;5
10000873;LG K9;;;23;UNIDAD;1;1;5
10000874;LG K9;;;23;UNIDAD;1;1;5
10000875;LG Q6;;;23;UNIDAD;1;1;5
10000876;LG STYLUS 3;;;23;UNIDAD;1;1;5
10000877;LG X STYLE;;;23;UNIDAD;1;1;5
10000878;M31 SAMSUNG;;;23;UNIDAD;1;1;5
10000879;MEiZU M6;;;23;UNIDAD;1;1;5
10000880;MOTOROLA E20;;;23;UNIDAD;1;1;5
10000881;MOTOROLA E30 /640;;;23;UNIDAD;1;1;5
10000882;MOTOROLA E5;;;23;UNIDAD;1;1;5
10000883;MOTOROLA E6 PLUS;;;23;UNIDAD;1;1;5
10000884;MOTOROLA E6 S;;;23;UNIDAD;1;1;5
10000885;MOTOROLA E7;;;23;UNIDAD;1;1;5
10000886;MOTOROLA E7I;;;23;UNIDAD;1;1;5
