tipo;codigo;nombre;marca;categoria;unidad;precio_x_menor;precio_x_mayor;alerta_cantidad;Color;Capacidad
P;814633020478;Audífonos Wireless Pioneer On-Ear SE-MJ553BT-K;Pioneer;9;1;270;270;1;;
PV;;Audífonos Philips BASS+ On-Ear SHL3075;Philips;9;1;79;79;1;;
V;6951613991633;;;;1;79;79;1;Blanco;
V;6951613991626;;;;1;79;79;1;Rojo;
P;5025232851034;Audífonos Panasonic Powerful Sound RP-HF100M;Panasonic;9;1;65;65;1;;
P;885170353183;Audífonos Panasonic Inalámbricos XBS RP-HF410B;Panasonic;9;1;168;168;1;;
P;;Audífonos JBL Tune 660NC Noise Cancelling ;JBL;9;1;319;319;1;;
P;6925281965869;Audífonos JBL Tune 720BT Inalámbricos ;JBL;9;1;279;279;1;;
P;;Audífonos Denon D1200 Hi-Res Audio;Denon;9;1;900;900;1;;
P;;Audífonos Deportivos Alenur Z13 Ultra;Alenur;9;1;75;75;1;;
PV;;Parlante Portátil Inalámbrico Tronsmart Mirtune H1;Tronsmart;;1;139;139;1;;
V;6975606873669;;Tronsmart;8;1;139;139;1;Negro;
PV;;Parlante Portátil Inalámbrico Tronsmart T7 Mini ;Tronsmart;8;1;99;99;1;;
V;6970232014622;;;;1;99;99;1;Negro;
V;6975606870644;;;;1;99;99;1;Gris;
PV;;Parlante Portátil Inalámbrico Tronsmart Splash 1;Tronsmart;8;1;129;129;1;;
V;6970232014035;;;;1;129;129;1;Negro;
PV;;Parlante Portátil Inalámbrico NIMO ;NIMO;8;1;99;99;1;;
V;6975606871016;;;;1;99;99;1;Verde;
PV;;Parlante Portátil Inalámbrico Tronsmart T8 Mini ;Tronsmart;8;1;129;129;1;;
V;6978338961604;;;;1;129;129;1;Negro;
PV;;Parlante Portátil Inalámbrico Tronsmart Trip 2;Tronsmart;8;1;129;129;1;;
V;6978338961666;;;;1;129;129;1;Negro;
P;10000281;Audífonos Motorola MOTO XT220;Motorola;9;1;160;160;1;;
PV;;Parlante Portátil Inalámbrico Tronsmart T8;Tronsmart;8;1;249;249;1;;
V;6978338961789;;;;1;249;249;1;Negro;
PV;;Parlante Portátil Inalámbrico Tronsmart T7 Lite ;Tronsmart;8;1;159;159;1;Negro;
V;6975606870200;;;;1;159;159;1;Negro;
PV;;Parlante Portátil Inalámbrico Tronsmart Mirtune S100;Tronsmart;8;1;279;279;1;;
V;6975606873706;;;;1;279;279;1;Negro;
PV;;Parlante Portátil Inalámbrico Tronsmart T2 Plus;Tronsmart;8;1;149;149;1;;
V;6975606871269;;;;1;149;149;1;Negro;
P;100010603;Parlante Portátil Inalámbrico JBL GO 3;JBL;8;1;159;159;1;;
P;HY830MV;Audífonos Gaming SEISA HY-830MV;SEISA;9;1;85;85;1;;
P;6925281950407;Audífonos Inalámbricos JBL JR300BT;JBL;9;1;220;220;1;;
P;698180000000;Audífonos Inalámbricos Cat STN-28 Orejas de Gato;CAT;9;1;79;79;1;;
P;;Audífonos Inalámbricos Headset BY2303 ;Genérico;9;1;38;38;1;;
P;;Micrófono Inalámbrico Zero SX9;Zero;10;1;70;70;1;;
PV;;Audífonos Gaming Enkore Active 5.1;Enkore;9;1;85;85;1;;
V;4661ENKHG1004UW1000;;;;1;85;85;1;Blanco;
PV;;Audífonos Gaming inalámbricos Cybertel Cybermax Gaming Explorer;Cybertel;9;1;139;139;1;;
V;4670CBXH800'31000;;;;1;139;139;1;Negro;
P;4617H802U3000;Audífonos Micronics Norton ;Micronics;9;1;64;64;1;;
P;814633021055;Audífonos Inalámbricos Pioneer ClipWear SE-CL5BT;Pioneer;9;1;79,9;79,9;1;;
P;814633021093;Audífonos Inalámbricos Pioneer ClipWear SE-CL5BT;Pioneer;9;1;79,9;79,9;1;;
P;814633021451;Audífonos Inalámbricos Pioneer Ironman SE-IM5BT;Pioneer;9;1;79,9;79,9;1;;
P;5055374711293;Audífonos Inalámbricos Motorola MOTO BUDS 085;Motorola;9;1;109;109;1;;
PV;;Audífonos Inalámbricos Tronsmart Onyx Ace Pro ;Tronsmart;9;1;144;144;1;;
V;6970232014608;;;;1;144;144;1;Blanco;
V;6970232014707;;;;1;144;144;1;Negro;
P;AL'E92535;Audífonos Inalámbricos Alenur E9 Ultra;Alenur;9;1;50;50;1;;
P;AL'A92535;Audífonos Inalámbricos Alenur A9 Ultra;Alenur;9;1;55;55;1;;
P;;Audífonos Inalámbricos Alenur Magic 22 Ultra;Alenur;9;1;60;60;1;;
P;195948689550;Audífonos Inalámbricos APds Inalámbricos Cert;Genérico;9;1;78;78;1;;
PV;;Audífonos Samsung HS1303 ;Samsung;9;1;60;60;1;;
V;8806085691230;Audífonos Samsung HS1303 ;;;1;60;60;1;Rosado;
PV;;Audífonos Sony MDR-EX15AP;Sony;9;1;39;39;1;;
V;27242868670;;;;1;39;39;1;Blanco;
V;27242868694;;;;1;39;39;1;Morado;
V;27242869486;;;;1;39;39;1;Rosado;
V;100000104;;;;1;39;39;1;Azul;
